69,0.0031191515907673115,0.01608574974613562,0,1		100131
37,0.08827199001871491,0.16406634322464178,4,5	100023,100007,100002,100013	100002
37,0.08827199001871491,0.11078596412050096,7,14	100002,100026,100007,100026,100002,100002,100056,100011,100013,100007,100013,100218	100038,100077
37,0.08827199001871491,0.1304361954191583,5,8	100063,100007,100020,100063,100002,100056	100007,100026
37,0.08827199001871491,0.18127496333070067,3,5	100007,100012,100013,100001	100025
37,0.08827199001871491,0.17025566963782016,6,10	100007,100115,100013,100011,100042,100013,100026,100025	100026,100007
37,0.08827199001871491,0.1476348866072436,8,14	100007,100035,100013,100002,100023,100002,100063,100056,100039,100042,100026,100043	100013,100002
37,0.08827199001871491,0.090075143856482,1,4	100013,100002	100013,100007
37,0.08827199001871491,0.14355951709353493,4,7	100007,100058,100042,100038,100013,100056	100025
37,0.08827199001871491,0.1347633983978337,3,6	100013,100007,100002,100056	100042,100043
37,0.08827199001871491,0.18458941667606904,2,3	100013,100091	100002
37,0.08827199001871491,0.12308338034525555,3,8	100026,100007,100056,100159,100027,100282	100023,100013
37,0.08827199001871491,0.2325930271916958,9,14	100002,100002,100002,100013,100002,100007,100002,100039,100026,100070,100011,100013,100002	100025
37,0.08827199001871491,0.10902312986573395,2,6	100013,100002,100038,100007	100013,100007
37,0.08827199001871491,0.19058016472977546,6,10	100011,100011,100023,100013,100026,100224,100025,100002,100001	100043
37,0.08827199001871491,0.10668983414193839,1,4	100002	100031,100038,100013
37,0.08827199001871491,0.13289766444770393,6,8	100002,100042,100002,100013,100007,100013,100007	100011
37,0.08827199001871491,0.088137199593817,1,2	100013	100007
37,0.08827199001871491,0.13246079205686562,5,9	100007,100002,100206,100007,100026,100013,100179,100110	100002
37,0.08827199001871491,0.11085456391740946,3,5	100007,100056,100056	100013,100253
37,0.08827199001871491,0.16723276542931287,4,6	100011,100013,100038,100002,100007	100038
37,0.08827199001871491,0.1642206927676859,2,7	100011,100013,100002,100038,100026,100023	100011
37,0.08827199001871491,0.07923547331603295,2,6	100136,100026,100195	100007,100063,100039
37,0.08827199001871491,0.11913076836285683,4,9	100002,100013,100013,100002,100007,100002	100007,100013,100038
37,0.08827199001871491,0.1040297867539208,2,3	100063,100007	100002
37,0.08827199001871491,0.08200022565722667,2,3	100063,100007	100007
37,0.08827199001871491,0.150362631163263,3,6	100002,100013,100007	100021,100016,100026
62,0.007485963817841547,0.2414812140358795,10,20	100017,100022,100003,100028,100026,100051,100035,100007,100011,100013,100026,100051,100030,100056,100013,100020,100056	100019,100012,100007
62,0.007485963817841547,0.16906510210989506,7,16	100162,100026,100013,100116,100050,100012,100017,100028,100022,100010,100007,100035,100021,100023	100026,100051
62,0.007485963817841547,0.21031163263003497,7,13	100022,100063,100026,100051,100011,100048,100026,100051,100013,100007	100056,100021,100002
209,0.5449157829070492,0.04311948550152318,2,5	100073,100053,100062	100035,100007
209,0.5449157829070492,0.06782263341983527,0,1		100056
209,0.5449157829070492,0.057207717477152205,1,2	100007	100007
209,0.5449157829070492,0.061656775358230845,0,1		100010
209,0.5449157829070492,0.06170190680356538,0,1		100028
209,0.5449157829070492,0.07770551731919215,2,5	100073,100035,100011,100013	100007
209,0.5449157829070492,0.05142096355635789,1,4	100007	100049,100133,100010
209,0.5449157829070492,0.19513392756403025,3,7	100011,100013,100021,100146,100114,100013	100010
61,0.0034310667498440423,0.08656482003836173,3,9	100012,100007,100013,100031	100044,100059,100030,100021,100031
61,0.0034310667498440423,0.12635631276091616,2,4	100024,100146,100010	100007
181,0.004366812227074236,0.05011124901274963,1,2	100002	100007
181,0.004366812227074236,0.07829673925307458,1,6	100027	100224,100191,100186,100079,100168
111,0.05583281347473487,0.08607378991312196,2,10	100046,100052,100285,100004,100026,100025	100013,100011,100044,100024
111,0.05583281347473487,0.05340042874873068,1,2	100012	100007
119,0.004054897067997504,0.06022249802549927,1,3	100012	100024,100026
36,0.14098565190268247,0.03755207040505472,1,2	100034	100082
36,0.14098565190268247,0.0,2,5	100117,100031,100117,100034	100018
36,0.14098565190268247,0.033661739817217644,3,4	100007,100087,100125	100007
36,0.14098565190268247,0.07115604197224416,1,2	100037	100087
